Year,Net Migration
1970,-16297.0
1971,-22014.0
1972,-27097.0
1973,-30602.0
1974,-33995.0
1975,-37505.0
1976,-41298.0
1977,-45398.0
1978,-50197.0
1979,-57696.0
1980,-66398.0
1981,-74202.0
1982,-78992.0
1983,-78295.0
1984,-68489.0
1985,-53596.0
1986,-38793.0
1987,-28905.0
1988,-27896.0
1989,-30997.0
1990,-36199.0
1991,-42400.0
1992,-48501.0
1993,-54206.0
1994,-63104.0
1995,-73695.0
1996,-83689.0
1997,-90691.0
1998,-92990.0
1999,-92896.0
2000,-91900.0
2001,-15604.0
2002,-20309.0
2003,-20932.0
2004,-1028.0
2005,-36955.0
2006,-23795.0
2007,-19572.0
2008,-11557.0
2009,5484.0
2010,-26603.0
2011,-13277.0
2012,-97095.0
2013,-97189.0
2014,-97807.0
2015,-98598.0
2016,-98896.0
2017,-98598.0
2018,-97100.0
2019,-94897.0
2020,-92400.0
2021,-92400.0
2022,-77495.0
